Word,Category
দক্ষ,Leadership
যোগ্য,Leadership
অভিজ্ঞ,Leadership
দূরদর্শী,Leadership
দূরদৃষ্টিসম্পন্ন,Leadership
বিচক্ষণ,Leadership
বুদ্ধিমান,Leadership
মেধাবী,Leadership
আত্মবিশ্বাসী,Leadership
দৃঢ়,Leadership
দৃঢ়চেতা,Leadership
সাহসী,Leadership
কর্মঠ,Leadership
কর্মক্ষম,Leadership
পরিশ্রমী,Leadership
উদ্যমী,Leadership
দায়িত্বশীল,Leadership
জনপ্রিয়,Leadership
প্রভাবশালী,Leadership
সৎ,Leadership
দক্ষ সংগঠক,Leadership
কার্যকর,Leadership
প্রগতিশীল,Leadership
সহযোগিতামূলক,Leadership
সৃজনশীল,Leadership
দ্রুত সিদ্ধান্তগ্রহণকারী,Leadership
সমন্বয়কারী,Leadership
জনবান্ধব,Leadership
নীতিনিষ্ঠ,Leadership
অযোগ্য,Leadership
অদক্ষ,Leadership
অনভিজ্ঞ,Leadership
অদূরদর্শী,Leadership
দুর্বল,Leadership
সিদ্ধান্তহীন,Leadership
অস্থির,Leadership
একগুঁয়ে,Leadership
অহংকারী,Leadership
ক্ষমতালোভী,Leadership
দায়িত্বজ্ঞানহীন,Leadership
অকার্যকর,Leadership
অসংগঠিত,Leadership
অদক্ষ ব্যবস্থাপক,Leadership
