Word,Category
বিনয়ী,Political Personality
নম্র,Political Personality
আত্মবিশ্বাসী,Political Personality
দৃঢ়প্রতিজ্ঞ,Political Personality
ধৈর্যশীল,Political Personality
সংযত,Political Personality
সহানুভূতিশীল,Political Personality
জনবান্ধব,Political Personality
সহযোগিতাপূর্ণ,Political Personality
সংলাপপ্রবণ,Political Personality
শান্তিপ্রিয়,Political Personality
আশাবাদী,Political Personality
দূরদর্শী,Political Personality
বাস্তববাদী,Political Personality
দায়িত্বশীল,Political Personality
সাহসী,Political Personality
পরিশ্রমী,Political Personality
নিষ্ঠাবান,Political Personality
নীতিনিষ্ঠ,Political Personality
সৎ,Political Personality
স্বচ্ছ,Political Personality
প্রভাবশালী,Political Personality
কৌশলী,Political Personality
একগুঁয়ে,Political Personality
অহংকারী,Political Personality
উদ্ধত,Political Personality
আক্রমণাত্মক,Political Personality
অসহিষ্ণু,Political Personality
স্বার্থপর,Political Personality
ক্ষমতাকেন্দ্রিক,Political Personality
অস্থির,Political Personality
সিদ্ধান্তহীন,Political Personality
অদূরদর্শী,Political Personality
