Word,Category
মার্জিত,Public Perception
পরিপাটি,Public Presentation
রুচিশীল,Public Presentation
আত্মবিশ্বাসী,Public Presentation
প্রভাবশালী,Public Presentation
আকর্ষণীয়,Public Presentation
সুশৃঙ্খল,Public Presentation
পেশাদার,Public Presentation
গুরুগম্ভীর,Public Presentation
সাবলীল,Public Presentation
জনবান্ধব,Public Presentation
প্রত্যয়ী,Public Presentation
সংযত,Public Presentation
আনুষ্ঠানিক,Public Presentation
দৃঢ়প্রতিজ্ঞ,Public Presentation
অগোছালো,Public Presentation
অপ্রস্তুত,Public Presentation
দুর্বল,Public Presentation
অসংলগ্ন,Public Presentation
অপেশাদার,Public Presentation
বেখাপ্পা,Public Presentation
